publish,event_id,record_type,evidence,disease,title,location,iso3,latitude,longitude,location_precision,published,updated,response,human_suspected,human_confirmed,human_deaths,animal_outbreaks,animal_sick,animal_deaths,animal_culled,species,source_id,source_name,source_level,source_kind,access_level,source_url,verification,summary
true,kemkes-profile-rabies-lyssa-2022-sumatera-utara,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2022 · Sumatera Utara,"Sumatera Utara, Indonesia",IDN,2.12,99.55,province,2022-12-31,2025-09-12,Program pengendalian rabies,,,6,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2022-sumatera-barat,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2022 · Sumatera Barat,"Sumatera Barat, Indonesia",IDN,-0.74,100.8,province,2022-12-31,2025-09-12,Program pengendalian rabies,,,8,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2022-sumatera-selatan,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2022 · Sumatera Selatan,"Sumatera Selatan, Indonesia",IDN,-3.32,103.91,province,2022-12-31,2025-09-12,Program pengendalian rabies,,,1,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2022-bengkulu,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2022 · Bengkulu,"Bengkulu, Indonesia",IDN,-3.58,102.35,province,2022-12-31,2025-09-12,Program pengendalian rabies,,,1,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2022-bali,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2022 · Bali,"Bali, Indonesia",IDN,-8.34,115.09,province,2022-12-31,2025-09-12,Program pengendalian rabies,,,22,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2022-nusa-tenggara-barat,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2022 · Nusa Tenggara Barat,"Nusa Tenggara Barat, Indonesia",IDN,-8.65,117.36,province,2022-12-31,2025-09-12,Program pengendalian rabies,,,3,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2022-nusa-tenggara-timur,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2022 · Nusa Tenggara Timur,"Nusa Tenggara Timur, Indonesia",IDN,-8.66,121.08,province,2022-12-31,2025-09-12,Program pengendalian rabies,,,9,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2022-kalimantan-barat,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2022 · Kalimantan Barat,"Kalimantan Barat, Indonesia",IDN,-0.28,111.48,province,2022-12-31,2025-09-12,Program pengendalian rabies,,,15,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2022-kalimantan-tengah,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2022 · Kalimantan Tengah,"Kalimantan Tengah, Indonesia",IDN,-1.68,113.38,province,2022-12-31,2025-09-12,Program pengendalian rabies,,,1,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2022-sulawesi-utara,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2022 · Sulawesi Utara,"Sulawesi Utara, Indonesia",IDN,0.62,123.98,province,2022-12-31,2025-09-12,Program pengendalian rabies,,,13,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
